99	100
X	Y	Species	Type	Diam	Height
57.2845	284.272	4	3	170.829	29.1577
227.259	11.1737	7	3	170.5	30.7863
202.379	8.59815	1	3	168.501	24.7994
80.4482	81.8	8	3	162.16	33.5645
279.475	272.202	6	3	160.706	38.2253
237.098	240.868	4	3	159.398	29.0159
251.968	230.077	0	3	158.757	25.6989
59.3189	52.9112	4	3	157.634	28.9902
284.774	25.6775	6	3	152.757	38.1723
7.41252	211.166	6	3	149.937	38.1498
78.1379	145.464	6	3	148.272	38.1356
233.122	114.329	4	3	147.15	28.813
114.035	109.449	4	3	144.466	28.7599
261.832	66.3526	4	3	142.496	28.7186
220.249	182.178	4	3	138.156	28.6205
73.4546	137.529	4	3	135.209	28.5477
218.34	111.251	3	3	134.806	34.3161
63.0448	138.634	4	3	130.857	28.4301
205.109	130.286	3	3	130.732	34.2721
276.855	202.123	7	3	127.16	30.7036
69.5236	146.239	4	3	127.053	28.3167
68.4391	118.129	7	3	124.782	30.6927
245.056	84.4969	4	3	121.512	28.1314
247.218	55.5109	4	3	121.079	28.1159
125.654	279.207	4	3	119.398	28.0539
219.799	248.251	4	3	119.245	28.0481
269.792	170.138	3	3	118.586	34.0964
20.3604	2.37892	4	3	117.819	27.9933
66.9279	97.6882	4	3	116.836	27.9544
21.235	89.9648	7	3	115.583	30.6377
30.205	185.668	4	3	113.639	27.8213
24.2313	14.3904	3	3	112.347	33.9722
273.364	158.132	4	3	111.904	27.7446
147.648	235.786	3	3	110.67	33.9339
146.432	66.9468	3	3	109.981	33.9175
250.591	111.06	3	3	109.966	33.9171
138.645	75.0174	4	3	109.715	27.6431
166.451	90.2849	3	3	109.619	33.9087
222.8	157.201	4	3	109.548	27.6351
216.498	17.6541	4	3	109.497	27.6327
180.474	10.8175	7	3	109.25	30.5842
136.113	194.336	7	3	109.237	30.5841
55.6964	294.932	4	3	107.89	27.5543
267.998	280.394	3	3	107.711	33.8605
129.157	35.9936	3	3	105.82	33.8094
286.205	212.243	4	3	103.527	27.3251
120.684	212.536	7	3	102.56	30.5084
148.213	158.921	3	3	102.128	33.6992
91.4581	182.717	4	3	101.47	27.2083
291.254	295.314	6	3	101.113	37.1264
156.008	3.65609	4	3	100.695	27.1628
96.4984	298.728	4	3	100.559	27.1547
157.034	236.53	7	3	100.334	30.4777
97.979	5.25733	4	3	99.3532	27.0819
212.776	268.886	2	3	97.0892	23.1518
65.3147	277.145	4	3	96.9539	26.9305
271.541	70.19	4	3	96.9466	26.9301
