99	100
X	Y	Species	Type	Diam	Height
6.14339	19.0079	3	3	98.4872	33.5755
6.0914	44.0272	4	3	13.8481	9.4315
5.44754	47.1458	4	3	24.5473	14.0544
0.154013	45.6169	4	3	33.531	17.107
6.9448	42.2759	4	3	47.3487	20.6742
0.358413	40.8595	3	3	37.5645	25.7822
7.6873	43.1034	3	3	66.5505	31.4336
5.87098	77.1722	4	3	110.754	27.6919
3.30607	90.1172	3	3	29.9177	23.0468
1.46894	92.6054	4	3	83.3011	25.8786
0.75233	110.484	2	3	83.2936	23.0851
2.67071	119.65	4	3	11.0885	8.03066
3.87617	128.553	4	3	95.9984	26.8677
1.94674	158.063	4	3	15.6074	10.2767
0.547419	161.369	4	3	16.2132	10.5594
2.95807	161.251	3	3	40.671	26.6988
7.41252	211.166	6	3	149.937	38.1498
2.23614	219.009	4	3	19.0922	11.8477
6.53765	235.82	4	3	114.639	27.8641
0.928586	249.652	4	3	88.0764	26.2868
2.80508	251.925	4	3	109.176	27.6173
7.32144	271.264	4	3	43.6647	19.8371
2.55146	265.969	4	3	50.1612	21.2647
4.1261	268.119	4	3	56.8402	22.515
5.39956	275.628	4	3	66.1752	23.9547
6.57007	287.801	4	3	52.6253	21.7498
3.35602	294.656	4	3	52.7929	21.7817
0.786871	291.519	4	3	69.1877	24.3537
3.77278	297.607	4	3	15.2999	10.1316
8.82246	28.8637	4	3	43.0368	19.6868
11.1517	37.0456	3	3	10.318	11.508
13.6256	33.1098	3	3	43.9266	27.5574
12.7167	65.7647	4	3	116.861	27.9554
8.56028	89.083	4	3	42.3939	19.5305
12.0389	105.762	4	3	20.4506	12.4249
13.9126	105.946	4	3	20.6903	12.5248
13.2328	123.98	4	3	87.228	26.2177
10.8114	133.077	3	3	14.6412	14.7792
9.83754	135.638	4	3	95.1706	26.8121
13.5582	145.879	4	3	41.8167	19.3881
9.80033	164.731	4	3	83.0638	25.857
12.0235	172.803	4	3	97.1474	26.9431
11.1127	197.849	3	3	106.502	33.8282
13.6814	213.527	4	3	21.1724	12.7239
9.56538	208.419	3	3	13.0665	13.6451
14.748	209.452	7	3	28.9872	22.8094
14.9898	248.468	2	3	118.964	23.1879
15.7955	258.927	4	3	11.4822	8.23632
15.909	261.142	4	3	13.801	9.40836
8.1322	262.934	4	3	21.0657	12.68
11.3266	261.811	4	3	25.9049	14.5596
8.45826	279.184	4	3	26.3487	14.7211
14.2246	282.322	4	3	95.1637	26.8117
20.3604	2.37892	4	3	117.819	27.9933
16.297	37.5196	4	3	59.5451	22.9663
20.1375	42.4835	3	3	61.3985	30.8014
19.8101	52.8168	4	3	114.69	27.8662
22.835	79.8028	4	3	124.762	28.2431
16.7658	90.5526	4	3	75.8843	25.1426
21.235	89.9648	7	3	115.583	30.6377
22.2605	107.022	3	3	31.5378	23.6896
17.7736	120.664	4	3	37.096	18.145
20.9538	151.702	4	3	77.033	25.2654
23.3655	151.2	7	3	97.7586	30.4381
23.937	170.977	4	3	157.929	28.9946
20.0773	191.223	4	3	90.3885	26.4681
16.0527	212.871	4	3	25.0904	14.2585
21.1616	222.942	4	3	13.2136	9.11765
23.4497	225.472	4	3	16.2587	10.5805
23.6788	227.772	4	3	66.3256	23.9753
17.8999	234.663	4	3	57.7021	22.662
16.8835	246.952	3	3	43.7519	27.5138
16.8638	252.457	4	3	11.3171	8.15032
18.6152	258.954	4	3	14.525	9.76094
22.0477	261.103	4	3	25.3717	14.3632
23.882	261.537	4	3	25.479	14.4029
21.7369	274.146	4	3	88.8102	26.3455
16.4551	285.936	4	3	95.9819	26.8666
31.8521	7.89338	4	3	89.6115	26.4083
24.2313	14.3904	3	3	112.347	33.9722
31.1647	39.8027	4	3	12.4649	8.7411
31.748	36.4206	4	3	45.4086	20.2428
27.6271	38.5605	4	3	51.0728	21.4475
26.3911	62.5081	4	3	78.9318	25.4611
28.2739	91.0018	4	3	107.509	27.5352
27.1089	106.883	4	3	50.4894	21.331
