X	Y	DBH	Mortclass
243.58	23.1756	171.065	1	
57.2845	284.272	170.829	1	
227.259	11.1737	170.5	2	
65.8249	73.7972	169.701	2	
199.776	243.163	168.681	1	
202.379	8.59815	168.501	2	
269.968	57.8014	166.735	1	
80.4482	81.8	162.16	1	
174.454	245.153	161.735	1	
279.475	272.202	160.706	2	
285.626	276.555	160.635	2	
184.119	87.2263	159.969	1	
237.098	240.868	159.398	1	
243.839	189.602	158.965	1	
251.968	230.077	158.757	1	
34.6874	121.479	158.692	1	
187.467	213.266	158.207	2	
72.465	212.9	157.985	1	
23.937	170.977	157.929	1	
119.545	268.006	157.659	1	
59.3189	52.9112	157.634	1	
252.557	79.584	156.821	2	
201.211	232.276	156.475	1	
114.075	237.005	155.992	1	
188.65	46.3112	154.513	1	
137.102	277.349	154.473	1	
284.774	25.6775	152.757	2	
191.427	245.583	152.166	1	
7.41252	211.166	149.937	1	
78.1379	145.464	148.272	2	
233.122	114.329	147.15	2	
52.3166	190.577	146.213	1	
114.035	109.449	144.466	1	
206.937	31.8022	143.065	1	
211.127	26.8753	142.797	1	
261.832	66.3526	142.496	2	
161.703	259.881	139.864	1	
123.432	161.164	138.856	1	
220.249	182.178	138.156	1	
298.626	148.272	137.974	2	
32.5953	249.063	136.608	1	
73.4546	137.529	135.209	2	
218.34	111.251	134.806	2	
91.1186	197.133	134.558	2	
267.432	236.69	133.011	1	
63.0448	138.634	130.857	1	
205.109	130.286	130.732	1	
233.952	288.967	129.631	1	
227.254	134.13	127.97	1	
276.855	202.123	127.16	1	
69.5236	146.239	127.053	1	
42.0016	33.0804	126.382	2	
28.6235	239.064	126.041	1	
262.585	29.7107	125.969	1	
221.943	12.4797	125.507	2	
68.4391	118.129	124.782	1	
22.835	79.8028	124.762	1	
203.871	174.965	123.531	1	
290.185	152.31	121.667	1	
239.004	132.672	121.542	2	
245.056	84.4969	121.512	2	
247.218	55.5109	121.079	1	
153.777	56.4455	119.859	1	
125.654	279.207	119.398	1	
